"student","Name","java.lang.String","false","null","null","A","zzzzzzzzz"
"aa9328266914","id","java.lang.Integer","true","null","null","0","10000"
"aa723974476","age","java.lang.Integer","false","null","null","1","100"
"aa723974476","name","java.lang.String","false","null","null","aaaaa","zzzzz"
"aa723974476","id","java.lang.Integer","true","null","null","0","10000"
"aa6112179302","age","java.lang.Integer","false","null","null","1","100"
"aa6112179302","name","java.lang.String","false","null","null","aaaaa","zzzzz"
"aa6112179302","id","java.lang.Integer","true","null","null","0","10000"
"aa7459130969","age","java.lang.Integer","false","null","null","1","100"
"aa7459130969","name","java.lang.String","false","null","null","aaaaa","zzzzz"
"aa7459130969","id","java.lang.Integer","true","null","null","0","10000"
"aa1072989347","age","java.lang.Integer","false","null","null","1","100"
"aa1072989347","name","java.lang.String","false","null","null","aaaaa","zzzzz"
"aa1072989347","id","java.lang.Integer","true","null","null","0","10000"
"aa265519251","age","java.lang.Integer","false","null","null","1","100"
"aa265519251","name","java.lang.String","false","null","null","aaaaa","zzzzz"
"aa265519251","id","java.lang.Integer","true","null","null","0","10000"
"aa2653015653","age","java.lang.Integer","false","null","null","1","100"
"aa2653015653","name","java.lang.String","false","null","null","aaaaa","zzzzz"
"aa2653015653","id","java.lang.Integer","true","null","null","0","10000"
"aa5571210157","age","java.lang.Integer","false","null","null","1","100"
"aa5571210157","name","java.lang.String","false","null","null","aaaaa","zzzzz"
"aa5571210157","id","java.lang.Integer","true","null","null","0","10000"
